# Number of items
30
# Stacking height
3
# Number of stacks
24
# Item name and Appearance
# (0 for I^{fix}, 1 for I^1, 2 for I^2)
   001     0
   002     0
   003     0
   004     0
   005     0
   006     0
   007     0
   008     0
   009     0
   010     0
   011     0
   012     1
   013     1
   014     1
   015     1
   016     1
   017     1
   018     1
   019     1
   020     1
   021     1
   022     1
   023     1
   024     1
   025     1
   026     2
   027     2
   028     2
   029     2
   030     2
# Positions of Ifix-items in the format (itemName, stack, level)
   001     2     1
   002     1     1
   003     7     1
   004     6     1
   005     9     1
   006     1     2
   007     8     1
   008     5     1
   009     3     1
   010     4     1
   011    10     1
# Stacking matrix
# Info: number of 1-entries = 491, density = 0.56
0 1 1 1 0 1 1 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 1 
0 0 1 0 0 0 1 1 1 1 0 1 1 0 0 1 0 1 0 0 1 0 0 0 0 0 1 0 0 0 
1 0 0 1 1 0 0 1 1 1 1 0 0 0 0 1 1 1 0 0 1 0 0 1 0 0 1 0 1 1 
0 1 1 0 1 1 0 1 1 1 0 1 0 0 1 1 0 1 1 1 0 1 1 1 1 1 0 1 1 1 
1 0 1 0 0 1 0 0 1 0 1 0 1 1 1 0 1 0 1 0 0 0 1 0 0 1 0 0 0 1 
1 1 1 1 1 0 0 1 1 1 1 0 1 1 0 1 1 1 1 0 1 0 1 1 1 0 1 0 0 0 
1 0 1 1 1 0 0 1 1 1 1 0 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 1 0 1 
1 1 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 
0 1 0 1 1 1 0 0 0 1 0 0 1 0 1 1 0 1 1 1 0 0 1 1 1 1 0 1 1 1 
0 1 1 0 1 1 0 1 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 1 1 1 0 
1 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 1 0 1 1 1 0 1 1 1 0 1 1 0 0 
0 0 1 0 0 1 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 0 0 1 1 0 1 1 0 
1 0 0 1 1 1 1 1 1 1 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 1 0 1 0 1 
1 1 0 1 0 0 0 1 1 0 1 1 1 0 1 1 1 1 0 1 0 0 0 0 0 1 0 1 1 0 
0 1 1 1 1 0 1 1 1 1 0 1 1 1 0 1 1 1 0 1 1 1 0 0 0 0 0 0 0 1 
0 1 0 0 1 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 1 1 1 0 0 0 1 0 0 0 
0 1 1 1 1 1 1 1 0 1 1 0 1 1 0 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 
1 0 1 1 1 0 1 0 1 1 1 0 1 1 1 1 1 0 0 1 1 1 0 0 1 0 1 1 1 1 
1 1 0 1 0 0 0 0 1 0 1 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 0 1 
1 1 0 0 0 0 1 0 1 1 0 0 0 1 1 1 1 0 1 0 1 1 1 0 1 1 0 1 0 0 
1 0 0 1 0 1 1 1 0 0 1 1 0 1 0 1 0 0 1 0 0 1 0 0 0 0 0 1 0 1 
1 0 1 1 0 1 0 1 1 1 0 0 1 1 0 0 1 1 0 0 0 0 1 1 1 0 1 1 1 1 
0 1 0 1 1 1 1 1 1 1 0 0 0 1 0 0 0 1 1 0 1 0 0 1 1 1 0 0 0 0 
0 0 0 1 1 1 0 1 0 0 1 1 0 1 0 0 1 1 1 0 0 1 0 0 0 1 1 1 1 0 
1 0 1 1 1 0 1 0 1 0 1 0 1 0 0 0 1 1 0 1 1 1 1 0 0 0 0 0 1 1 
1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 1 1 
1 1 1 1 1 1 0 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 0 1 1 0 0 1 1 
1 1 0 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 0 1 0 0 0 1 1 0 0 1 
0 0 1 1 1 1 0 0 0 0 0 1 1 1 0 1 1 1 1 1 0 1 1 0 0 0 1 0 0 1 
1 0 0 1 1 1 1 0 1 0 0 1 1 0 1 1 1 1 0 1 1 0 0 1 1 0 1 1 0 0 
